goos: darwin
goarch: amd64
pkg: std/net/url
BenchmarkQueryUnescape/#00-8         	30000000	        42.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        41.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        41.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        41.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       151 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       149 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       156 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       150 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       151 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       150 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       151 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       150 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       149 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       150 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       150 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       164 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       155 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       151 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       150 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       163 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       163 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       170 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       156 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#01-8         	10000000	       156 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       113 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       105 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       108 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       105 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       107 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       105 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       104 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       108 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       107 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	10000000	       106 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       105 ns/op	      32 B/op	       1 allocs/op
